timestamp,threshold,attention,score,spaceship_position,spaceship_velocity
2021-04-11 17:43:12,518,50,56,85,-10.441400000000002,-0.4800000000000001
2021-04-11 17:43:12,535,50,56,85,-10.512800000000002,-0.42000000000000004
2021-04-11 17:43:12,556,50,56,85,-10.651400000000002,-0.66
2021-04-11 17:43:12,573,50,56,85,-10.722800000000003,-0.42000000000000004
2021-04-11 17:43:12,591,50,56,85,-10.794200000000004,-0.42000000000000004
2021-04-11 17:43:12,607,50,56,85,-10.865600000000004,-0.42000000000000004
2021-04-11 17:43:12,624,50,56,85,-10.937000000000005,-0.42000000000000004
2021-04-11 17:43:12,641,50,56,85,-11.008400000000005,-0.42000000000000004
2021-04-11 17:43:12,658,50,56,85,-11.079800000000006,-0.42000000000000004
2021-04-11 17:43:12,675,50,56,85,-11.151200000000006,-0.42000000000000004
2021-04-11 17:43:12,692,50,56,85,-11.222600000000007,-0.42000000000000004
2021-04-11 17:43:12,709,50,56,85,-11.294000000000008,-0.42000000000000004
2021-04-11 17:43:12,726,50,56,85,-11.351600000000008,-0.36
2021-04-11 17:43:12,743,50,56,85,-11.438000000000008,-0.4800000000000001
2021-04-11 17:43:12,762,50,56,85,-11.540600000000008,-0.5400000000000001
2021-04-11 17:43:12,781,50,56,85,-11.643200000000009,-0.5400000000000001
2021-04-11 17:43:12,800,50,56,85,-11.74580000000001,-0.5400000000000001
2021-04-11 17:43:12,819,50,56,85,-11.84840000000001,-0.5400000000000001
2021-04-11 17:43:12,837,50,56,85,-11.93480000000001,-0.4800000000000001
2021-04-11 17:43:12,854,50,56,85,-12.00620000000001,-0.42000000000000004
2021-04-11 17:43:12,871,50,56,85,-12.077600000000011,-0.42000000000000004
2021-04-11 17:43:12,889,50,56,85,-12.16400000000001,-0.4800000000000001
2021-04-11 17:43:12,906,50,56,85,-12.235400000000011,-0.42000000000000004
2021-04-11 17:43:12,924,50,56,85,-12.32180000000001,-0.4800000000000001
2021-04-11 17:43:12,941,50,56,85,-12.39320000000001,-0.42000000000000004
2021-04-11 17:43:12,958,50,56,85,-12.464600000000011,-0.42000000000000004
2021-04-11 17:43:12,976,50,56,85,-12.55100000000001,-0.4800000000000001
2021-04-11 17:43:12,993,50,56,85,-12.622400000000011,-0.42000000000000004
2021-04-11 17:43:13,010,50,56,85,-12.693800000000012,-0.42000000000000004
2021-04-11 17:43:13,027,50,56,85,-12.765200000000013,-0.42000000000000004
2021-04-11 17:43:13,045,50,56,85,-12.851600000000012,-0.4800000000000001
2021-04-11 17:43:13,062,50,56,85,-12.923000000000012,-0.42000000000000004
2021-04-11 17:43:13,080,50,56,85,-12.994400000000013,-0.42000000000000004
2021-04-11 17:43:13,097,50,56,85,-13.080800000000012,-0.4800000000000001
2021-04-11 17:43:13,114,50,56,85,-13.152200000000013,-0.42000000000000004
2021-04-11 17:43:13,131,50,56,85,-13.223600000000014,-0.42000000000000004
2021-04-11 17:43:13,149,50,56,85,-13.310000000000013,-0.4800000000000001
2021-04-11 17:43:13,166,50,56,85,-13.381400000000014,-0.42000000000000004
2021-04-11 17:43:13,183,50,56,85,-13.452800000000014,-0.42000000000000004
2021-04-11 17:43:13,200,50,56,85,-13.524200000000015,-0.42000000000000004
2021-04-11 17:43:13,217,50,56,85,-13.595600000000015,-0.42000000000000004
2021-04-11 17:43:13,234,50,56,85,-13.667000000000016,-0.42000000000000004
2021-04-11 17:43:13,251,50,56,85,-13.738400000000016,-0.42000000000000004
2021-04-11 17:43:13,268,50,56,85,-13.809800000000017,-0.42000000000000004
