timestamp,threshold,attention,score,spaceship_position,spaceship_velocity
2021-04-12 14:54:32,199,70,43,0,-27.9375,-3.7800000000000002
2021-04-12 14:54:32,215,70,43,0,-27.9375,-3.66
2021-04-12 14:54:32,231,70,43,0,-27.9375,-3.66
2021-04-12 14:54:32,250,70,43,0,-27.9375,-3.7800000000000002
2021-04-12 14:54:32,268,70,43,0,-27.9375,-3.9000000000000004
2021-04-12 14:54:32,285,70,43,0,-27.9375,-3.72
2021-04-12 14:54:32,301,70,43,0,-27.9375,-3.66
2021-04-12 14:54:32,322,70,43,0,-27.9375,-3.9000000000000004
2021-04-12 14:54:32,338,70,43,0,-27.9375,-3.72
2021-04-12 14:54:32,359,70,43,0,-27.9375,-3.96
2021-04-12 14:54:32,378,70,43,0,-27.9375,-3.8400000000000003
2021-04-12 14:54:32,404,70,43,0,-27.9375,-4.140000000000001
2021-04-12 14:54:32,438,70,43,0,-27.9375,-4.74
2021-04-12 14:54:32,466,70,43,0,-27.9375,-4.380000000000001
2021-04-12 14:54:32,500,70,43,0,-27.9375,-4.74
2021-04-12 14:54:32,523,70,43,0,-27.9375,-4.140000000000001
2021-04-12 14:54:32,567,70,43,0,-27.9375,-5.34
2021-04-12 14:54:32,589,70,43,0,-27.9375,-3.96
2021-04-12 14:54:32,608,70,43,0,-27.9375,-3.9000000000000004
2021-04-12 14:54:32,624,70,43,0,-27.9375,-3.66
2021-04-12 14:54:32,653,70,43,0,-27.9375,-4.26
2021-04-12 14:54:32,686,70,43,0,-27.9375,-4.8
2021-04-12 14:54:32,702,70,43,0,-27.9375,-3.66
2021-04-12 14:54:32,719,70,43,0,-27.9375,-3.7800000000000002
2021-04-12 14:54:32,735,70,43,0,-27.9375,-3.66
2021-04-12 14:54:32,751,70,43,0,-27.9375,-3.66
2021-04-12 14:54:32,770,70,43,0,-27.9375,-3.7800000000000002
2021-04-12 14:54:32,787,70,43,0,-27.9375,-3.7800000000000002
2021-04-12 14:54:32,806,70,43,0,-27.9375,-3.8400000000000003
2021-04-12 14:54:32,829,70,43,0,-27.9375,-3.96
2021-04-12 14:54:32,850,70,43,0,-27.9375,-4.0200000000000005
2021-04-12 14:54:32,866,70,43,0,-27.9375,-3.72
2021-04-12 14:54:32,883,70,43,0,-27.9375,-3.72
2021-04-12 14:54:32,901,70,47,0,-27.9375,-3.32
2021-04-12 14:54:32,916,70,47,0,-27.9375,-3.26
2021-04-12 14:54:32,933,70,47,0,-27.9375,-3.26
2021-04-12 14:54:32,952,70,47,0,-27.9375,-3.5
2021-04-12 14:54:32,968,70,47,0,-27.9375,-3.26
2021-04-12 14:54:32,987,70,47,0,-27.9375,-3.38
2021-04-12 14:54:33,004,70,47,0,-27.9375,-3.32
2021-04-12 14:54:33,020,70,47,0,-27.9375,-3.32
2021-04-12 14:54:33,037,70,47,0,-27.9375,-3.32
2021-04-12 14:54:33,054,70,47,0,-27.9375,-3.26
2021-04-12 14:54:33,071,70,47,0,-27.9375,-3.38
2021-04-12 14:54:33,087,70,47,0,-27.9375,-3.26
2021-04-12 14:54:33,103,70,47,0,-27.9375,-3.26
2021-04-12 14:54:33,119,70,47,0,-27.9375,-3.26
2021-04-12 14:54:33,135,70,47,0,-27.9375,-3.26
2021-04-12 14:54:33,152,70,47,0,-27.9375,-3.32
2021-04-12 14:54:33,168,70,47,0,-27.9375,-3.26
2021-04-12 14:54:33,185,70,47,0,-27.9375,-3.32
2021-04-12 14:54:33,202,70,47,0,-27.9375,-3.32
2021-04-12 14:54:33,218,70,47,0,-27.9375,-3.26
2021-04-12 14:54:33,240,70,47,0,-27.9375,-3.62
2021-04-12 14:54:33,259,70,47,0,-27.9375,-3.44
2021-04-12 14:54:33,275,70,47,0,-27.9375,-3.32
2021-04-12 14:54:33,293,70,47,0,-27.9375,-3.32
2021-04-12 14:54:33,311,70,47,0,-27.9375,-3.44
2021-04-12 14:54:33,328,70,47,0,-27.9375,-3.26
2021-04-12 14:54:33,345,70,47,0,-27.9375,-3.38
2021-04-12 14:54:33,363,70,47,0,-27.9375,-3.32
2021-04-12 14:54:33,379,70,47,0,-27.9375,-3.26
2021-04-12 14:54:33,395,70,47,0,-27.9375,-3.26
2021-04-12 14:54:33,415,70,47,0,-27.9375,-3.5
2021-04-12 14:54:33,432,70,47,0,-27.9375,-3.32
2021-04-12 14:54:33,448,70,47,0,-27.9375,-3.26
2021-04-12 14:54:33,464,70,47,0,-27.9375,-3.26
2021-04-12 14:54:33,483,70,47,0,-27.9375,-3.44
2021-04-12 14:54:33,499,70,47,0,-27.9375,-3.26
2021-04-12 14:54:33,517,70,47,0,-27.9375,-3.32
